ESTADO;CIDADE;x;y;TIPO;NOME;TEXTO
CEARÁ;Crato;1054,259;391,633;coletivo;COLETIVO ALTO DE COUTOS ;
SÃO PAULO;São Joaquim da Barra;793,511;812,527;coletivo;COLETIVO AUTRAN NUNES;
SANTA CATARINA;São José;753,127;1008,709;coletivo;COLETIVO BAIRRO DA PAZ;
SÃO PAULO;Capão Bonito;774,888;927,992;coletivo;COLETIVO BATAN;
MINAS GERAIS;Lavras;891,877;830,221;coletivo;COLETIVO BENEDITO BENTES;
MATO GROSSO;Cuiabá;557,865;643,011;coletivo;COLETIVO BETIM;
MINAS GERAIS;Sarzedo;915,424;830,221;coletivo;COLETIVO BOM JARDIM II;
PARANÁ;Ponta Grossa;709,415;958,588;coletivo;COLETIVO BONGI;
MINAS GERAIS;Itajubá;875,296;867,952;coletivo;COLETIVO BOQUEIRÃO;
RIO GRANDE DO SUL;Júlio de Castilhos;622,032;1080,453;coletivo;COLETIVO BRASILÂNDIA;
MATO GROSSO DO SUL;JOÃO PESSOA;579,306;810,822;coletivo;COLETIVO CABANA;
PARANÁ;Terenos;696,849;905,408;coletivo;COLETIVO CABO;
MINAS GERAIS;Marialva;929,183;803,249;coletivo;COLETIVO CIDADE DE DEUS;
PARANÁ;Ouro Preto;739,229;939,209;coletivo;COLETIVO CIDADE NOVA;
PERNAMBUCO;Contenda;1186,985;412,664;coletivo;COLETIVO CIDADE OPERÁRIA;
DISTRITO FEDERAL;Itapissuma;814,44;650,202;coletivo;COLETIVO CLIMA BOM;
SÃO PAULO;Brasília;803,261;823,073;coletivo;COLETIVO COELHOS;
PARANÁ;Batatais;774,888;948,001;coletivo;COLETIVO COQUEIRAL;
MINAS GERAIS;Morretes;779,947;754,516;coletivo;COLETIVO COQUEIROS;
PARÁ;Uberlândia;784,979;195,421;coletivo;COLETIVO COROADINHO;
AMAZONAS;JOÃO PESSOA;454,806;275,894;coletivo;COLETIVO CUBATÃO;
SANTA CATARINA;Ananindeua;641,155;1004,947;coletivo;COLETIVO D. HÉLDER;
RIO GRANDE DO SUL;Manaus;694,002;1121,931;coletivo;COLETIVO ERMELINO MATARAZZO;
MINAS GERAIS;Chapecó;806,932;746,104;coletivo;COLETIVO FELIPE CAMARÃO;
PARANÁ;Cachoeirinha;734,952;970,349;coletivo;COLETIVO HELIÓPOLIS;
PARANÁ;Uberlândia;784,58;970,079;coletivo;COLETIVO IMPERIAL;
ESPIRITO SANTO;Curitiba;1021,202;799,574;coletivo;COLETIVO ITABIRITO;
DISTRITO FEDERAL;Curitiba;799,311;648,612;coletivo;COLETIVO JAGUARÉ;
SANTA CATARINA;Vitória;762,004;1027,484;coletivo;COLETIVO JAPIIM;
PARANÁ;Brasília;771,484;954,458;coletivo;COLETIVO JARDIM COPACABANA;
DISTRITO FEDERAL;Florianópolis;788,064;656,265;coletivo;COLETIVO JARDIM FLORESTA;
MINAS GERAIS;Curitiba;872,33;802,353;coletivo;COLETIVO JARDIM LILIZA;
MINAS GERAIS;Brasília;787,315;757,733;coletivo;COLETIVO JARDIM SANTA LÚCIA;
MINAS GERAIS;Arcos;815,152;752,979;coletivo;COLETIVO JOSÉ BONIFÁCIO;
MINAS GERAIS;Uberlândia;945,142;785,447;coletivo;COLETIVO JUNDIAPEBA;
